date,aqi,Main Pollutant,ozone,PM10,PM25,date_aqi
2005-01-10,50,PM2.5,20,18,50,01/10/2005
2005-01-11,30,Ozone,30,16,50,01/11/2005
2005-01-12,31,Ozone,31,12,51,01/12/2005
2005-01-13,52,PM2.5,30,16,52,01/13/2005
2005-01-14,23,Ozone,23,17,49,01/14/2005
2005-01-15,26,Ozone,26,19,47,01/15/2005
2005-01-16,45,PM2.5,23,21,45,01/16/2005
2005-01-17,21,PM10,17,21,52,01/17/2005
2005-01-18,31,CO,15,28,59,01/18/2005
2005-01-19,67,PM2.5,17,24,67,01/19/2005
2005-01-20,35,CO,1,22,62,01/20/2005
2005-01-21,36,CO,14,22,58,01/21/2005
2005-01-22,54,PM2.5,13,15,54,01/22/2005
2005-01-23,31,CO,10,29,58,01/23/2005
2005-01-24,28,PM10,15,28,62,01/24/2005
2005-01-25,67,PM2.5,15,27,67,01/25/2005
2005-01-26,30,PM10,17,30,66,01/26/2005
2005-01-27,35,PM10,16,35,65,01/27/2005
2005-01-28,64,PM2.5,13,25,64,01/28/2005
2005-01-29,18,CO,13,15,59,01/29/2005
2005-01-30,28,Ozone,28,18,54,01/30/2005
2005-01-31,50,PM2.5,29,24,50,01/31/2005
2005-02-01,56,PM10,35,56,52,02/01/2005
2005-02-02,59,PM10,37,59,54,02/02/2005
2005-02-03,65,PM10,31,65,56,02/03/2005
2005-02-04,62,PM10,36,62,52,02/04/2005
2005-02-05,34,Ozone,34,29,49,02/05/2005
2005-02-06,46,PM2.5,31,28,46,02/06/2005
2005-02-07,51,PM10,26,51,48,02/07/2005
2005-02-08,51,PM10,33,51,51,02/08/2005
2005-02-09,54,PM2.5,33,53,54,02/09/2005
2005-02-10,59,PM10,30,59,59,02/10/2005
2005-02-11,71,PM10,31,71,64,02/11/2005
2005-02-12,69,PM2.5,36,57,69,02/12/2005
2005-02-13,39,Ozone,39,27,63,02/13/2005
2005-02-14,30,PM10,38,30,57,02/14/2005
2005-02-15,51,PM2.5,37,37,51,02/15/2005
2005-02-16,39,PM10,36,39,51,02/16/2005
2005-02-17,46,PM10,35,46,51,02/17/2005
2005-02-18,53,PM10,31,53,52,02/18/2005
2005-02-19,37,PM10,31,37,57,02/19/2005
2005-02-20,40,PM10,33,40,62,02/20/2005
2005-02-21,68,PM2.5,31,44,68,02/21/2005
2005-02-22,66,PM10,35,66,67,02/22/2005
2005-02-23,59,PM10,33,59,67,02/23/2005
2005-02-24,67,PM2.5,34,62,67,02/24/2005
2005-02-25,75,PM10,34,75,63,02/25/2005
2005-02-26,58,PM10,36,58,59,02/26/2005
2005-02-27,55,PM2.5,38,49,55,02/27/2005
2005-02-28,76,PM10,33,76,54,02/28/2005
2005-03-01,67,PM10,37,67,54,03/01/2005
2005-03-02,54,PM2.5,35,52,54,03/02/2005
2005-03-03,60,PM10,37,60,59,03/03/2005
2005-03-04,72,PM10,39,72,64,03/04/2005
2005-03-05,69,PM2.5,39,58,69,03/05/2005
2005-03-06,46,PM10,44,46,60,03/06/2005
2005-03-07,53,PM10,42,53,51,03/07/2005
2005-03-08,54,PM10,40,54,42,03/08/2005
2005-03-09,45,PM10,38,45,44,03/09/2005
2005-03-10,40,PM10,36,40,47,03/10/2005
2005-03-11,54,PM10,38,54,50,03/11/2005
2005-03-12,40,Ozone,40,22,45,03/12/2005
2005-03-13,42,Ozone,42,18,41,03/13/2005
2005-03-14,41,Ozone,41,30,37,03/14/2005
2005-03-15,46,PM10,42,46,35,03/15/2005
2005-03-16,46,Ozone,46,45,33,03/16/2005
2005-03-17,33,Ozone,33,13,31,03/17/2005
2005-03-18,42,Ozone,42,17,41,03/18/2005
2005-03-19,42,Ozone,42,18,52,03/19/2005
2005-03-20,63,PM2.5,41,24,63,03/20/2005
2005-03-21,45,PM10,45,45,51,03/21/2005
2005-03-22,55,PM10,37,55,39,03/22/2005
2005-03-23,38,Ozone,38,31,27,03/23/2005
2005-03-24,40,Ozone,40,34,34,03/24/2005
2005-03-25,55,PM10,39,55,41,03/25/2005
2005-03-26,48,PM2.5,42,32,48,03/26/2005
2005-03-27,21,Ozone,21,11,42,03/27/2005
2005-03-28,43,Ozone,43,15,36,03/28/2005
2005-03-29,43,Ozone,43,21,30,03/29/2005
2005-03-30,36,Ozone,36,15,33,03/30/2005
2005-03-31,51,PM10,45,51,37,03/31/2005
2005-04-01,46,PM10,44,46,41,04/01/2005
2005-04-02,44,Ozone,44,18,41,04/02/2005
2005-04-03,40,Ozone,40,23,42,04/03/2005
2005-04-04,43,PM2.5,30,31,43,04/04/2005
2005-04-05,44,Ozone,44,38,38,04/05/2005
2005-04-06,43,PM10,39,43,34,04/06/2005
2005-04-07,35,PM10,39,35,30,04/07/2005
2005-04-08,39,Ozone,39,14,30,04/08/2005
2005-04-09,45,Ozone,45,18,31,04/09/2005
2005-04-10,44,Ozone,44,24,32,04/10/2005
2005-04-11,44,PM10,43,44,30,04/11/2005
2005-04-12,40,Ozone,40,18,28,04/12/2005
2005-04-13,36,Ozone,36,11,26,04/13/2005
2005-04-14,35,Ozone,35,13,25,04/14/2005
2005-04-15,44,Ozone,44,41,25,04/15/2005
2005-04-16,41,Ozone,41,31,25,04/16/2005
2005-04-17,41,Ozone,41,10,24,04/17/2005
2005-04-18,41,Ozone,41,21,24,04/18/2005
2005-04-19,44,Ozone,44,21,24,04/19/2005
2005-04-20,47,Ozone,47,32,28,04/20/2005
2005-04-21,52,PM10,46,52,33,04/21/2005
2005-04-22,44,PM10,46,44,38,04/22/2005
2005-04-23,31,PM10,45,31,38,04/23/2005
2005-04-24,27,PM10,45,27,38,04/24/2005
2005-04-25,39,PM10,44,39,38,04/25/2005
2005-04-26,44,Ozone,44,42,34,04/26/2005
2005-04-27,42,Ozone,42,22,30,04/27/2005
2005-04-28,45,Ozone,45,23,26,04/28/2005
2005-04-29,45,Ozone,45,29,27,04/29/2005
2005-04-30,45,Ozone,45,22,28,04/30/2005
2005-05-01,41,Ozone,41,19,30,05/01/2005
2005-05-02,45,Ozone,45,30,28,05/02/2005
2005-05-03,43,Ozone,43,36,27,05/03/2005
2005-05-04,40,Ozone,40,19,26,05/04/2005
2005-05-05,38,Ozone,38,26,23,05/05/2005
2005-05-06,31,Ozone,31,19,20,05/06/2005
2005-05-07,25,Ozone,25,11,17,05/07/2005
2005-05-08,38,Ozone,38,13,20,05/08/2005
2005-05-09,43,Ozone,43,23,23,05/09/2005
2005-05-10,42,Ozone,42,29,26,05/10/2005
2005-05-11,44,Ozone,44,24,28,05/11/2005
2005-05-12,45,Ozone,45,33,30,05/12/2005
2005-05-13,41,Ozone,41,26,33,05/13/2005
2005-05-14,36,Ozone,36,22,27,05/14/2005
2005-05-15,36,Ozone,36,15,21,05/15/2005
2005-05-16,39,Ozone,39,11,15,05/16/2005
2005-05-17,14,PM10,35,14,19,05/17/2005
2005-05-18,31,Ozone,31,17,24,05/18/2005
2005-05-19,39,Ozone,39,16,29,05/19/2005
2005-05-20,31,Ozone,31,17,24,05/20/2005
2005-05-21,36,Ozone,36,12,20,05/21/2005
2005-05-22,43,Ozone,43,12,16,05/22/2005
2005-05-23,39,Ozone,39,17,15,05/23/2005
2005-05-24,38,Ozone,38,17,14,05/24/2005
2005-05-25,36,Ozone,36,20,14,05/25/2005
2005-05-26,44,Ozone,44,23,18,05/26/2005
2005-05-27,45,Ozone,45,32,23,05/27/2005
2005-05-28,47,Ozone,47,26,28,05/28/2005
2005-05-29,44,Ozone,44,19,28,05/29/2005
2005-05-30,46,Ozone,46,15,28,05/30/2005
2005-05-31,39,Ozone,39,29,28,05/31/2005
2005-06-01,22,Ozone,22,7,24,06/01/2005
2005-06-02,22,Ozone,22,6,21,06/02/2005
2005-06-03,22,Ozone,22,7,18,06/03/2005
2005-06-04,31,Ozone,31,22,17,06/04/2005
2005-06-05,38,Ozone,38,16,16,06/05/2005
2005-06-06,31,Ozone,31,15,15,06/06/2005
2005-06-07,28,Ozone,28,7,19,06/07/2005
2005-06-08,22,Ozone,22,12,23,06/08/2005
2005-06-09,28,PM2.5,23,15,28,06/09/2005
2005-06-10,31,Ozone,31,17,24,06/10/2005
2005-06-11,44,Ozone,44,16,21,06/11/2005
2005-06-12,28,Ozone,28,10,18,06/12/2005
2005-06-13,36,Ozone,36,21,20,06/13/2005
2005-06-14,35,Ozone,35,20,23,06/14/2005
2005-06-15,45,Ozone,45,23,26,06/15/2005
2005-06-16,36,Ozone,36,33,20,06/16/2005
2005-06-17,33,PM10,31,33,14,06/17/2005
2005-06-18,29,Ozone,29,10,9,06/18/2005
2005-06-19,31,Ozone,31,13,19,06/19/2005
2005-06-20,38,Ozone,38,24,29,06/20/2005
2005-06-21,41,PM10,38,41,39,06/21/2005
2005-06-22,61,PM10,51,61,34,06/22/2005
2005-06-23,34,Ozone,34,22,29,06/23/2005
2005-06-24,32,Ozone,32,29,25,06/24/2005
2005-06-25,39,Ozone,39,26,23,06/25/2005
2005-06-26,34,Ozone,34,18,22,06/26/2005
2005-06-27,31,Ozone,31,19,21,06/27/2005
2005-06-28,23,Ozone,23,11,24,06/28/2005
2005-06-29,28,Ozone,28,13,27,06/29/2005
2005-06-30,34,Ozone,34,23,31,06/30/2005
2005-07-01,46,Ozone,46,23,30,07/01/2005
2005-07-02,41,Ozone,41,22,29,07/02/2005
2005-07-03,32,Ozone,32,15,28,07/03/2005
2005-07-04,36,Ozone,36,30,28,07/04/2005
2005-07-05,37,Ozone,37,30,28,07/05/2005
2005-07-06,31,PM10,25,31,28,07/06/2005
2005-07-07,39,Ozone,39,31,21,07/07/2005
2005-07-08,30,PM10,36,30,14,07/08/2005
2005-07-09,33,Ozone,33,10,8,07/09/2005
2005-07-10,34,Ozone,34,7,13,07/10/2005
2005-07-11,29,Ozone,29,17,18,07/11/2005
2005-07-12,39,Ozone,39,21,23,07/12/2005
2005-07-13,44,Ozone,44,30,26,07/13/2005
2005-07-14,35,Ozone,35,31,29,07/14/2005
2005-07-15,38,Ozone,38,31,33,07/15/2005
2005-07-16,32,Ozone,32,20,41,07/16/2005
2005-07-17,29,Ozone,29,9,49,07/17/2005
2005-07-18,58,PM2.5,29,19,58,07/18/2005
2005-07-19,43,Ozone,43,26,48,07/19/2005
2005-07-20,71,Ozone,71,29,39,07/20/2005
2005-07-21,64,Ozone,64,31,30,07/21/2005
2005-07-22,47,Ozone,47,33,26,07/22/2005
2005-07-23,45,Ozone,45,13,23,07/23/2005
2005-07-24,42,Ozone,42,18,20,07/24/2005
2005-07-25,32,Ozone,32,26,25,07/25/2005
2005-07-26,35,Ozone,35,25,31,07/26/2005
2005-07-27,41,Ozone,41,33,37,07/27/2005
2005-07-28,44,Ozone,44,35,33,07/28/2005
2005-07-29,49,Ozone,49,41,29,07/29/2005
2005-07-30,38,Ozone,38,24,25,07/30/2005
2005-07-31,43,Ozone,43,22,25,07/31/2005
2005-08-01,42,Ozone,42,28,25,08/01/2005
2005-08-02,43,Ozone,43,24,25,08/02/2005
2005-08-03,44,Ozone,44,29,31,08/03/2005
2005-08-04,46,Ozone,46,36,37,08/04/2005
2005-08-05,64,Ozone,64,39,43,08/05/2005
2005-08-06,54,Ozone,54,29,44,08/06/2005
2005-08-07,58,Ozone,58,35,46,08/07/2005
2005-08-08,48,PM2.5,47,48,48,08/08/2005
2005-08-09,43,Ozone,43,37,43,08/09/2005
2005-08-10,37,Ozone,37,29,39,08/10/2005
2005-08-11,35,PM2.5,31,18,35,08/11/2005
2005-08-12,30,Ozone,30,13,34,08/12/2005
2005-08-13,35,Ozone,35,9,34,08/13/2005
2005-08-14,40,Ozone,40,19,34,08/14/2005
2005-08-15,39,Ozone,39,31,36,08/15/2005
2005-08-16,48,Ozone,48,39,38,08/16/2005
2005-08-17,41,PM2.5,24,38,41,08/17/2005
2005-08-18,23,Ozone,23,10,36,08/18/2005
2005-08-19,36,Ozone,36,23,31,08/19/2005
2005-08-20,38,Ozone,38,22,27,08/20/2005
2005-08-21,44,Ozone,44,27,30,08/21/2005
2005-08-22,44,PM10,32,44,34,08/22/2005
2005-08-23,39,PM10,33,39,38,08/23/2005
2005-08-24,17,Ozone,17,8,35,08/24/2005
2005-08-25,27,Ozone,27,22,32,08/25/2005
2005-08-26,39,Ozone,39,25,30,08/26/2005
2005-08-27,47,Ozone,47,26,34,08/27/2005
2005-08-28,43,Ozone,43,27,38,08/28/2005
2005-08-29,44,PM10,34,44,42,08/29/2005
2005-08-30,34,PM10,33,34,38,08/30/2005
2005-08-31,37,Ozone,37,29,35,08/31/2005
2005-09-01,38,Ozone,38,27,32,09/01/2005
2005-09-02,44,PM10,33,44,27,09/02/2005
2005-09-03,36,Ozone,36,27,22,09/03/2005
2005-09-04,37,Ozone,37,19,18,09/04/2005
2005-09-05,41,Ozone,41,22,20,09/05/2005
2005-09-06,35,Ozone,35,26,23,09/06/2005
2005-09-07,40,Ozone,40,30,26,09/07/2005
2005-09-08,44,Ozone,44,34,20,09/08/2005
2005-09-09,34,PM10,33,34,15,09/09/2005
2005-09-10,25,Ozone,25,6,10,09/10/2005
2005-09-11,14,Ozone,14,6,16,09/11/2005
2005-09-12,14,Ozone,14,10,22,09/12/2005
2005-09-13,29,PM2.5,12,19,29,09/13/2005
2005-09-14,27,PM10,24,27,29,09/14/2005
2005-09-15,29,Ozone,29,23,29,09/15/2005
2005-09-16,30,PM2.5,26,21,30,09/16/2005
2005-09-17,27,Ozone,27,14,28,09/17/2005
2005-09-18,29,Ozone,29,13,27,09/18/2005
2005-09-19,41,Ozone,41,26,26,09/19/2005
2005-09-20,43,Ozone,43,30,35,09/20/2005
2005-09-21,35,Ozone,35,20,45,09/21/2005
2005-09-22,55,PM2.5,36,31,55,09/22/2005
2005-09-23,27,Ozone,27,23,49,09/23/2005
2005-09-24,35,Ozone,35,19,43,09/24/2005
2005-09-25,37,PM2.5,27,19,37,09/25/2005
2005-09-26,34,Ozone,34,25,36,09/26/2005
2005-09-27,44,PM10,22,44,35,09/27/2005
2005-09-28,37,Ozone,37,29,34,09/28/2005
2005-09-29,32,Ozone,32,23,26,09/29/2005
2005-09-30,30,Ozone,30,10,18,09/30/2005
2005-10-01,38,Ozone,38,7,11,10/01/2005
2005-10-02,26,Ozone,26,12,13,10/02/2005
2005-10-03,19,Ozone,19,14,15,10/03/2005
2005-10-04,26,Ozone,26,11,17,10/04/2005
2005-10-05,32,PM10,18,32,28,10/05/2005
2005-10-06,33,PM10,14,33,39,10/06/2005
2005-10-07,50,PM2.5,25,21,50,10/07/2005
2005-10-08,25,PM10,22,25,52,10/08/2005
2005-10-09,26,Ozone,26,23,54,10/09/2005
2005-10-10,57,PM2.5,31,32,57,10/10/2005
2005-10-11,32,PM10,28,32,52,10/11/2005
2005-10-12,43,PM10,19,43,47,10/12/2005
2005-10-13,42,PM2.5,33,24,42,10/13/2005
2005-10-14,37,PM10,23,37,39,10/14/2005
2005-10-15,27,Ozone,27,26,36,10/15/2005
2005-10-16,34,PM2.5,31,17,34,10/16/2005
2005-10-17,31,Ozone,31,18,39,10/17/2005
2005-10-18,29,Ozone,29,21,44,10/18/2005
2005-10-19,50,PM2.5,18,22,50,10/19/2005
2005-10-20,22,Ozone,22,19,51,10/20/2005
2005-10-21,24,Ozone,24,23,52,10/21/2005
2005-10-22,53,PM2.5,13,30,53,10/22/2005
2005-10-23,19,PM10,7,19,53,10/23/2005
2005-10-24,19,PM10,4,19,54,10/24/2005
2005-10-25,55,PM2.5,6,19,55,10/25/2005
2005-10-26,26,CO,12,14,60,10/26/2005
2005-10-27,22,Ozone,22,14,66,10/27/2005
2005-10-28,72,PM2.5,14,33,72,10/28/2005
2005-10-29,30,PM10,24,30,66,10/29/2005
2005-10-30,24,Ozone,24,22,60,10/30/2005
2005-10-31,54,PM2.5,24,20,54,10/31/2005
2005-11-01,24,Ozone,24,13,58,11/01/2005
2005-11-02,25,PM10,24,25,63,11/02/2005
2005-11-03,68,PM2.5,20,50,68,11/03/2005
2005-11-04,29,Ozone,29,20,54,11/04/2005
2005-11-05,29,Ozone,29,12,41,11/05/2005
2005-11-06,28,PM2.5,23,12,28,11/06/2005
2005-11-07,32,PM10,27,32,38,11/07/2005
2005-11-08,23,Ozone,23,17,48,11/08/2005
2005-11-09,59,PM2.5,27,36,59,11/09/2005
2005-11-10,49,PM10,27,49,49,11/10/2005
2005-11-11,31,Ozone,31,16,39,11/11/2005
2005-11-12,29,PM2.5,25,17,29,11/12/2005
2005-11-13,25,Ozone,25,19,38,11/13/2005
2005-11-14,26,Ozone,26,19,47,11/14/2005
2005-11-15,56,PM2.5,27,31,56,11/15/2005
2005-11-16,19,Ozone,19,13,57,11/16/2005
2005-11-17,37,PM10,19,37,58,11/17/2005
2005-11-18,60,PM2.5,17,45,60,11/18/2005
2005-11-19,39,PM10,11,39,51,11/19/2005
2005-11-20,17,PM10,14,17,43,11/20/2005
2005-11-21,35,PM2.5,11,15,35,11/21/2005
2005-11-22,17,CO,10,15,36,11/22/2005
2005-11-23,20,CO,10,15,38,11/23/2005
2005-11-24,40,PM2.5,10,13,40,11/24/2005
2005-11-25,18,CO,10,13,35,11/25/2005
2005-11-26,24,Ozone,24,16,31,11/26/2005
2005-11-27,27,PM2.5,23,10,27,11/27/2005
2005-11-28,23,PM10,22,23,38,11/28/2005
2005-11-29,23,PM10,21,23,50,11/29/2005
2005-11-30,62,PM2.5,19,21,62,11/30/2005
2005-12-01,25,Ozone,25,18,60,12/01/2005
2005-12-02,22,CO,20,19,59,12/02/2005
2005-12-03,58,PM2.5,23,19,58,12/03/2005
2005-12-04,27,Ozone,27,22,59,12/04/2005
2005-12-05,27,Ozone,27,11,60,12/05/2005
2005-12-06,62,PM2.5,24,19,62,12/06/2005
2005-12-07,24,PM10,21,24,66,12/07/2005
2005-12-08,24,Ozone,24,19,70,12/08/2005
2005-12-09,75,PM2.5,21,28,75,12/09/2005
2005-12-10,32,PM10,18,32,70,12/10/2005
2005-12-11,21,PM10,16,21,66,12/11/2005
2005-12-12,62,PM2.5,16,19,62,12/12/2005
2005-12-13,22,PM10,21,22,57,12/13/2005
2005-12-14,24,CO,22,14,52,12/14/2005
2005-12-15,47,PM2.5,22,17,47,12/15/2005
2005-12-16,24,CO,22,17,53,12/16/2005
2005-12-17,22,CO,20,19,59,12/17/2005
2005-12-18,66,PM2.5,19,23,66,12/18/2005
2005-12-19,22,CO,19,20,79,12/19/2005
2005-12-20,20,PM10,15,20,92,12/20/2005
2005-12-21,105,PM2.5,13,39,105,12/21/2005
2005-12-22,42,PM10,20,42,84,12/22/2005
2005-12-23,35,CO,23,26,63,12/23/2005
2005-12-24,42,PM2.5,24,21,42,12/24/2005
2005-12-25,18,PM10,12,18,42,12/25/2005
2005-12-26,25,CO,17,20,42,12/26/2005
2005-12-27,43,PM2.5,20,17,43,12/27/2005
2005-12-28,31,CO,14,13,48,12/28/2005
2005-12-29,26,CO,17,22,54,12/29/2005
2005-12-30,60,PM2.5,19,19,60,12/30/2005
2005-12-31,27,CO,17,15,67,12/31/2005
2006-01-01,19,CO,16,17,74,01/01/2006
2006-01-02,81,PM2.5,11,16,81,01/02/2006
2006-01-03,23,CO,21,19,67,01/03/2006
2006-01-04,23,CO,15,21,54,01/04/2006
2006-01-05,51,PM10,17,51,41,01/05/2006
2006-01-06,27,CO,12,25,41,01/06/2006
2006-01-07,19,PM10,15,19,41,01/07/2006
2006-01-08,41,PM2.5,33,14,41,01/08/2006
2006-01-09,31,Ozone,31,30,30,01/09/2006
2006-01-10,28,Ozone,28,12,18,01/10/2006
2006-01-11,32,Ozone,32,24,8,01/11/2006
2006-01-12,47,PM10,30,47,19,01/12/2006
2006-01-13,30,CO,21,15,31,01/13/2006
2006-01-14,43,PM2.5,15,18,43,01/14/2006
2006-01-15,30,Ozone,30,10,31,01/15/2006
2006-01-16,58,PM10,28,58,19,01/16/2006
2006-01-17,27,CO,23,13,7,01/17/2006
2006-01-18,24,Ozone,24,14,19,01/18/2006
2006-01-19,24,Ozone,24,15,32,01/19/2006
2006-01-20,45,PM2.5,27,13,45,01/20/2006
2006-01-21,25,Ozone,25,17,35,01/21/2006
2006-01-22,27,Ozone,27,20,25,01/22/2006
2006-01-23,29,Ozone,29,26,16,01/23/2006
2006-01-24,23,PM10,20,23,24,01/24/2006
2006-01-25,57,PM10,15,57,32,01/25/2006
2006-01-26,40,PM2.5,34,21,40,01/26/2006
2006-01-27,42,PM10,31,42,39,01/27/2006
2006-01-28,32,Ozone,32,15,38,01/28/2006
2006-01-29,37,PM2.5,32,13,37,01/29/2006
2006-01-30,35,Ozone,35,9,31,01/30/2006
2006-01-31,33,Ozone,33,17,25,01/31/2006
2006-02-01,35,Ozone,35,20,20,02/01/2006
2006-02-02,25,Ozone,25,21,22,02/02/2006
2006-02-03,29,PM10,21,29,24,02/03/2006
2006-02-04,34,Ozone,34,21,27,02/04/2006
2006-02-05,31,Ozone,31,22,39,02/05/2006
2006-02-06,80,PM10,31,80,51,02/06/2006
2006-02-07,105,PM10,30,105,63,02/07/2006
2006-02-08,74,PM10,17,74,58,02/08/2006
2006-02-09,51,PM10,34,51,53,02/09/2006
2006-02-10,82,PM10,32,82,49,02/10/2006
2006-02-11,64,PM10,31,64,55,02/11/2006
2006-02-12,59,PM10,33,59,61,02/12/2006
2006-02-13,67,PM2.5,27,49,67,02/13/2006
2006-02-14,34,Ozone,34,31,51,02/14/2006
2006-02-15,55,PM10,31,55,35,02/15/2006
2006-02-16,37,Ozone,37,29,20,02/16/2006
2006-02-17,45,PM10,34,45,35,02/17/2006
2006-02-18,54,PM10,32,54,50,02/18/2006
2006-02-19,65,PM2.5,35,50,65,02/19/2006
2006-02-20,36,PM10,35,36,55,02/20/2006
2006-02-21,31,Ozone,31,19,45,02/21/2006
2006-02-22,35,PM2.5,33,19,35,02/22/2006
2006-02-23,32,Ozone,32,10,33,02/23/2006
2006-02-24,38,Ozone,38,25,32,02/24/2006
2006-02-25,34,Ozone,34,24,31,02/25/2006
2006-02-26,37,PM10,25,37,22,02/26/2006
2006-02-27,27,PM10,28,27,13,02/27/2006
2006-02-28,15,CO,31,11,4,02/28/2006
2006-03-01,35,Ozone,35,24,20,03/01/2006
2006-03-02,41,Ozone,41,36,36,03/02/2006
2006-03-03,52,PM2.5,33,23,52,03/03/2006
2006-03-04,47,PM10,33,47,51,03/04/2006
2006-03-05,53,PM10,32,53,51,03/05/2006
2006-03-06,51,PM2.5,23,35,51,03/06/2006
2006-03-07,31,Ozone,31,19,38,03/07/2006
2006-03-08,37,Ozone,37,33,25,03/08/2006
2006-03-09,39,Ozone,39,32,13,03/09/2006
2006-03-10,38,Ozone,38,33,23,03/10/2006
2006-03-11,36,Ozone,36,30,34,03/11/2006
2006-03-12,45,PM2.5,39,31,45,03/12/2006
2006-03-13,54,PM10,38,54,48,03/13/2006
2006-03-14,38,Ozone,38,36,51,03/14/2006
2006-03-15,55,PM2.5,42,44,55,03/15/2006
2006-03-16,50,PM10,42,50,44,03/16/2006
2006-03-17,43,Ozone,43,36,34,03/17/2006
2006-03-18,40,Ozone,40,19,24,03/18/2006
2006-03-19,36,Ozone,36,18,20,03/19/2006
2006-03-20,39,Ozone,39,25,16,03/20/2006
2006-03-21,43,PM10,41,43,13,03/21/2006
2006-03-22,49,PM10,37,49,26,03/22/2006
2006-03-23,59,PM10,39,59,39,03/23/2006
2006-03-24,54,PM10,31,54,52,03/24/2006
2006-03-25,34,Ozone,34,11,44,03/25/2006
2006-03-26,38,Ozone,38,10,36,03/26/2006
2006-03-27,42,Ozone,42,21,29,03/27/2006
2006-03-28,37,Ozone,37,30,33,03/28/2006
2006-03-29,34,PM10,28,34,38,03/29/2006
2006-03-30,52,PM10,31,52,43,03/30/2006
2006-03-31,37,PM10,32,37,36,03/31/2006
2006-04-01,37,Ozone,37,19,30,04/01/2006
2006-04-02,38,Ozone,38,19,24,04/02/2006
2006-04-03,44,PM10,34,44,23,04/03/2006
2006-04-04,25,Ozone,25,15,22,04/04/2006
2006-04-05,27,Ozone,27,24,22,04/05/2006
2006-04-06,22,Ozone,22,6,21,04/06/2006
2006-04-07,33,Ozone,33,23,20,04/07/2006
2006-04-08,28,Ozone,28,19,20,04/08/2006
2006-04-09,38,Ozone,38,24,23,04/09/2006
2006-04-10,41,PM10,41,41,26,04/10/2006
2006-04-11,38,Ozone,38,35,29,04/11/2006
2006-04-12,43,PM10,39,43,24,04/12/2006
2006-04-13,44,Ozone,44,21,20,04/13/2006
2006-04-14,38,Ozone,38,19,16,04/14/2006
2006-04-15,40,Ozone,40,18,16,04/15/2006
2006-04-16,42,Ozone,42,14,17,04/16/2006
2006-04-17,41,Ozone,41,23,18,04/17/2006
2006-04-18,41,PM10,39,41,24,04/18/2006
2006-04-19,58,PM10,44,58,30,04/19/2006
2006-04-20,44,PM10,40,44,36,04/20/2006
2006-04-21,44,PM10,36,44,28,04/21/2006
2006-04-22,32,Ozone,32,15,20,04/22/2006
2006-04-23,43,Ozone,43,13,12,04/23/2006
2006-04-24,48,Ozone,48,27,19,04/24/2006
2006-04-25,42,Ozone,42,31,27,04/25/2006
2006-04-26,48,Ozone,48,35,35,04/26/2006
2006-04-27,50,Ozone,50,31,40,04/27/2006
2006-04-28,44,PM10,45,44,46,04/28/2006
2006-04-29,52,PM2.5,40,45,52,04/29/2006
2006-04-30,36,Ozone,36,16,43,04/30/2006
2006-05-01,44,Ozone,44,31,34,05/01/2006
2006-05-02,33,Ozone,33,19,26,05/02/2006
2006-05-03,44,Ozone,44,28,31,05/03/2006
2006-05-04,54,Ozone,54,31,36,05/04/2006
2006-05-05,50,Ozone,50,40,41,05/05/2006
2006-05-06,61,Ozone,61,35,32,05/06/2006
2006-05-07,39,Ozone,39,14,23,05/07/2006
2006-05-08,45,Ozone,45,15,14,05/08/2006
2006-05-09,40,Ozone,40,19,20,05/09/2006
2006-05-10,60,PM10,46,60,26,05/10/2006
2006-05-11,45,Ozone,45,37,33,05/11/2006
2006-05-12,71,Ozone,71,30,35,05/12/2006
2006-05-13,77,Ozone,77,33,37,05/13/2006
2006-05-14,49,Ozone,49,31,40,05/14/2006
2006-05-15,40,Ozone,40,39,43,05/15/2006
2006-05-16,53,PM10,40,53,47,05/16/2006
2006-05-17,51,PM2.5,41,49,51,05/17/2006
2006-05-18,52,PM10,41,52,42,05/18/2006
2006-05-19,43,PM10,28,43,33,05/19/2006
2006-05-20,24,PM2.5,18,17,24,05/20/2006
2006-05-21,36,Ozone,36,14,21,05/21/2006
2006-05-22,34,Ozone,34,33,18,05/22/2006
2006-05-23,43,Ozone,43,19,15,05/23/2006
2006-05-24,44,Ozone,44,29,14,05/24/2006
2006-05-25,46,Ozone,46,16,13,05/25/2006
2006-05-26,38,Ozone,38,14,12,05/26/2006
2006-05-27,23,Ozone,23,7,11,05/27/2006
2006-05-28,25,Ozone,25,6,10,05/28/2006
2006-05-29,22,Ozone,22,9,10,05/29/2006
2006-05-30,31,Ozone,31,21,16,05/30/2006
2006-05-31,39,Ozone,39,26,23,05/31/2006
2006-06-01,41,Ozone,41,25,30,06/01/2006
2006-06-02,38,Ozone,38,33,25,06/02/2006
2006-06-03,39,Ozone,39,10,20,06/03/2006
2006-06-04,21,Ozone,21,10,15,06/04/2006
2006-06-05,38,Ozone,38,31,19,06/05/2006
2006-06-06,31,Ozone,31,25,24,06/06/2006
2006-06-07,34,Ozone,34,26,29,06/07/2006
2006-06-08,24,Ozone,24,15,22,06/08/2006
2006-06-09,37,Ozone,37,19,16,06/09/2006
2006-06-10,23,Ozone,23,6,10,06/10/2006
2006-06-11,33,Ozone,33,10,16,06/11/2006
2006-06-12,34,Ozone,34,15,22,06/12/2006
2006-06-13,28,PM2.5,32,21,28,06/13/2006
2006-06-14,30,Ozone,30,11,23,06/14/2006
