date,aqi,Main Pollutant,ozone,PM10,PM25,date_aqi
2001-01-06,30,Ozone,30,17,72,01/06/2001
2001-01-07,75,PM2.5,20,55,75,01/07/2001
2001-01-08,52,PM10,17,52,80,01/08/2001
2001-01-09,50,PM10,14,50,85,01/09/2001
2001-01-10,90,PM2.5,15,44,90,01/10/2001
2001-01-11,26,CO,24,11,81,01/11/2001
2001-01-12,26,Ozone,26,8,72,01/12/2001
2001-01-13,63,PM2.5,22,17,63,01/13/2001
2001-01-14,23,Ozone,23,9,54,01/14/2001
2001-01-15,20,Ozone,20,6,45,01/15/2001
2001-01-16,37,PM2.5,25,12,37,01/16/2001
2001-01-17,27,Ozone,27,18,49,01/17/2001
2001-01-18,28,CO,20,16,61,01/18/2001
2001-01-19,73,PM2.5,14,20,73,01/19/2001
2001-01-20,25,Ozone,25,12,60,01/20/2001
2001-01-21,19,CO,16,15,47,01/21/2001
2001-01-22,35,PM2.5,15,10,35,01/22/2001
2001-01-23,27,Ozone,27,5,40,01/23/2001
2001-01-24,25,Ozone,25,6,46,01/24/2001
2001-01-25,52,PM2.5,18,16,52,01/25/2001
2001-01-26,32,CO,26,9,43,01/26/2001
2001-01-27,27,Ozone,27,5,34,01/27/2001
2001-01-28,28,Ozone,28,7,25,01/28/2001
2001-01-29,26,Ozone,26,11,30,01/29/2001
2001-01-30,30,Ozone,30,13,35,01/30/2001
2001-01-31,40,PM2.5,19,12,40,01/31/2001
2001-02-01,27,Ozone,27,8,35,02/01/2001
2001-02-02,28,Ozone,28,8,30,02/02/2001
2001-02-03,32,Ozone,32,14,25,02/03/2001
2001-02-04,28,CO,25,13,19,02/04/2001
2001-02-05,31,Ozone,31,7,13,02/05/2001
2001-02-06,33,Ozone,33,17,8,02/06/2001
2001-02-07,32,Ozone,32,26,22,02/07/2001
2001-02-08,27,PM10,27,27,36,02/08/2001
2001-02-09,51,PM2.5,31,46,51,02/09/2001
2001-02-10,30,Ozone,30,9,56,02/10/2001
2001-02-11,30,Ozone,30,11,62,02/11/2001
2001-02-12,68,PM2.5,34,20,68,02/12/2001
2001-02-13,17,CO,33,9,53,02/13/2001
2001-02-14,25,CO,33,17,38,02/14/2001
2001-02-15,23,PM2.5,33,10,23,02/15/2001
2001-02-16,18,CO,32,7,37,02/16/2001
2001-02-17,20,CO,32,7,52,02/17/2001
2001-02-18,67,PM2.5,32,23,67,02/18/2001
2001-02-19,19,CO,32,17,72,02/19/2001
2001-02-20,23,CO,31,19,77,02/20/2001
2001-02-21,82,PM2.5,31,25,82,02/21/2001
2001-02-22,25,CO,31,13,65,02/22/2001
2001-02-23,31,Ozone,31,7,49,02/23/2001
2001-02-24,33,PM2.5,27,10,33,02/24/2001
2001-02-25,31,Ozone,31,13,41,02/25/2001
2001-02-26,35,Ozone,35,26,49,02/26/2001
2001-02-27,58,PM2.5,36,52,58,02/27/2001
2001-02-28,44,PM10,40,44,61,02/28/2001
2001-03-01,44,PM10,34,44,65,03/01/2001
2001-03-02,69,PM2.5,40,56,69,03/02/2001
2001-03-03,39,Ozone,39,28,69,03/03/2001
2001-03-04,39,Ozone,39,28,69,03/04/2001
2001-03-05,70,PM2.5,33,58,70,03/05/2001
2001-03-06,46,PM10,38,46,66,03/06/2001
2001-03-07,51,PM10,34,51,62,03/07/2001
2001-03-08,59,PM2.5,36,55,59,03/08/2001
2001-03-09,37,Ozone,37,33,46,03/09/2001
2001-03-10,35,Ozone,35,31,34,03/10/2001
2001-03-11,42,PM10,39,42,22,03/11/2001
2001-03-12,40,Ozone,40,39,23,03/12/2001
2001-03-13,39,Ozone,39,19,24,03/13/2001
2001-03-14,34,Ozone,34,9,26,03/14/2001
2001-03-15,35,Ozone,35,18,28,03/15/2001
2001-03-16,31,Ozone,31,29,30,03/16/2001
2001-03-17,38,Ozone,38,36,33,03/17/2001
2001-03-18,36,Ozone,36,32,33,03/18/2001
2001-03-19,44,Ozone,44,17,34,03/19/2001
2001-03-20,44,Ozone,44,35,35,03/20/2001
2001-03-21,44,Ozone,44,28,36,03/21/2001
2001-03-22,41,Ozone,41,35,37,03/22/2001
2001-03-23,38,PM2.5,33,34,38,03/23/2001
2001-03-24,31,Ozone,31,24,33,03/24/2001
2001-03-25,22,Ozone,22,14,28,03/25/2001
2001-03-26,43,Ozone,43,14,23,03/26/2001
2001-03-27,41,Ozone,41,17,23,03/27/2001
2001-03-28,27,Ozone,27,15,23,03/28/2001
