,date,date_wxstation,LATITUDE,LONGITUDE,PRCP,SNOW,TMAX,TMIN,wx_station,did_PRCP,did_SNOW
10578,2017-06-13,2017-06-13_st_mary,48.7375,-113.4305,1.2,0.0,54.0,48.0,st_mary,1,0
10579,2017-06-13,2017-06-13_west_glac,48.5002,-113.9847,0.61,0.0,80.0,52.0,west_glac,1,0
10580,2017-06-14,2017-06-14_east_glac,48.4472,-113.2236,0.87,0.0,55.0,44.0,east_glac,1,0
10581,2017-06-14,2017-06-14_many_glac,48.8,-113.67,0.1,0.0,58.0,44.0,many_glac,1,0
10582,2017-06-14,2017-06-14_st_mary,48.7375,-113.4305,0.1,0.0,58.0,47.0,st_mary,1,0
10583,2017-06-14,2017-06-14_west_glac,48.5002,-113.9847,0.58,0.0,62.0,47.0,west_glac,1,0
10584,2017-06-15,2017-06-15_east_glac,48.4472,-113.2236,0.01,0.0,60.0,45.0,east_glac,1,0
10585,2017-06-15,2017-06-15_many_glac,48.8,-113.67,0.0,0.0,58.0,46.0,many_glac,0,0
10586,2017-06-15,2017-06-15_st_mary,48.7375,-113.4305,0.0,0.0,57.0,45.0,st_mary,0,0
10587,2017-06-15,2017-06-15_west_glac,48.5002,-113.9847,0.0,0.0,65.0,40.0,west_glac,0,0
10588,2017-06-16,2017-06-16_east_glac,48.4472,-113.2236,0.06,0.0,58.0,47.0,east_glac,1,0
10589,2017-06-16,2017-06-16_many_glac,48.8,-113.67,0.5,0.0,58.0,45.0,many_glac,1,0
10590,2017-06-16,2017-06-16_st_mary,48.7375,-113.4305,0.5,0.0,60.0,47.0,st_mary,1,0
10591,2017-06-16,2017-06-16_west_glac,48.5002,-113.9847,0.83,0.0,58.0,50.0,west_glac,1,0
10592,2017-06-17,2017-06-17_east_glac,48.4472,-113.2236,0.0,0.0,55.0,43.0,east_glac,0,0
10593,2017-06-17,2017-06-17_many_glac,48.8,-113.67,0.0,0.0,60.0,43.0,many_glac,0,0
10594,2017-06-17,2017-06-17_st_mary,48.7375,-113.4305,0.0,0.0,58.0,44.0,st_mary,0,0
10595,2017-06-17,2017-06-17_west_glac,48.5002,-113.9847,0.63,0.0,61.0,45.0,west_glac,1,0
10596,2017-06-18,2017-06-18_east_glac,48.4472,-113.2236,0.0,0.0,49.0,45.0,east_glac,0,0
10597,2017-06-18,2017-06-18_many_glac,48.8,-113.67,0.0,0.0,58.0,49.0,many_glac,0,0
10598,2017-06-18,2017-06-18_st_mary,48.7375,-113.4305,0.0,0.0,59.0,51.0,st_mary,0,0
10599,2017-06-18,2017-06-18_west_glac,48.5002,-113.9847,0.02,0.0,62.0,48.0,west_glac,1,0
10600,2017-06-19,2017-06-19_east_glac,48.4472,-113.2236,0.0,0.0,58.0,49.0,east_glac,0,0
10601,2017-06-19,2017-06-19_many_glac,48.8,-113.67,0.0,0.0,72.0,53.0,many_glac,0,0
10602,2017-06-19,2017-06-19_st_mary,48.7375,-113.4305,0.0,0.0,69.0,54.0,st_mary,0,0
10603,2017-06-19,2017-06-19_west_glac,48.5002,-113.9847,0.0,0.0,75.0,52.0,west_glac,0,0
10604,2017-06-20,2017-06-20_east_glac,48.4472,-113.2236,0.0,0.0,73.0,48.0,east_glac,0,0
10605,2017-06-20,2017-06-20_many_glac,48.8,-113.67,0.0,0.0,71.0,62.0,many_glac,0,0
10606,2017-06-20,2017-06-20_st_mary,48.7375,-113.4305,0.0,0.0,73.0,47.0,st_mary,0,0
10607,2017-06-20,2017-06-20_west_glac,48.5002,-113.9847,0.01,0.0,75.0,54.0,west_glac,1,0
10608,2017-06-21,2017-06-21_east_glac,48.4472,-113.2236,0.0,0.0,74.0,42.0,east_glac,0,0
10609,2017-06-21,2017-06-21_many_glac,48.8,-113.67,0.0,0.0,68.0,48.0,many_glac,0,0
10610,2017-06-21,2017-06-21_st_mary,48.7375,-113.4305,0.0,0.0,67.0,41.0,st_mary,0,0
10611,2017-06-21,2017-06-21_west_glac,48.5002,-113.9847,0.0,0.0,76.0,50.0,west_glac,0,0
10612,2017-06-22,2017-06-22_east_glac,48.4472,-113.2236,0.0,0.0,69.0,36.0,east_glac,0,0
10613,2017-06-22,2017-06-22_many_glac,48.8,-113.67,0.0,0.0,63.0,40.0,many_glac,0,0
10614,2017-06-22,2017-06-22_st_mary,48.7375,-113.4305,0.0,0.0,59.0,33.0,st_mary,0,0
10615,2017-06-22,2017-06-22_west_glac,48.5002,-113.9847,0.0,0.0,74.0,39.0,west_glac,0,0
10616,2017-06-23,2017-06-23_east_glac,48.4472,-113.2236,0.0,0.0,60.0,40.0,east_glac,0,0
10617,2017-06-23,2017-06-23_many_glac,48.8,-113.67,0.0,0.0,64.0,38.0,many_glac,0,0
10618,2017-06-23,2017-06-23_st_mary,48.7375,-113.4305,0.0,0.0,62.0,38.0,st_mary,0,0
10619,2017-06-23,2017-06-23_west_glac,48.5002,-113.9847,0.0,0.0,70.0,41.0,west_glac,0,0
10620,2017-06-24,2017-06-24_east_glac,48.4472,-113.2236,0.0,0.0,61.0,37.0,east_glac,0,0
10621,2017-06-24,2017-06-24_many_glac,48.8,-113.67,0.0,0.0,69.0,38.0,many_glac,0,0
10622,2017-06-24,2017-06-24_st_mary,48.7375,-113.4305,0.0,0.0,69.0,35.0,st_mary,0,0
10623,2017-06-24,2017-06-24_west_glac,48.5002,-113.9847,0.0,0.0,75.0,43.0,west_glac,0,0
10624,2017-06-25,2017-06-25_east_glac,48.4472,-113.2236,0.0,0.0,68.0,39.0,east_glac,0,0
10625,2017-06-25,2017-06-25_many_glac,48.8,-113.67,0.0,0.0,80.0,40.0,many_glac,0,0
10626,2017-06-25,2017-06-25_st_mary,48.7375,-113.4305,0.0,0.0,80.0,38.0,st_mary,0,0
10627,2017-06-25,2017-06-25_west_glac,48.5002,-113.9847,0.0,0.0,81.0,46.0,west_glac,0,0
10628,2017-06-26,2017-06-26_east_glac,48.4472,-113.2236,0.0,0.0,78.0,45.0,east_glac,0,0
10629,2017-06-26,2017-06-26_many_glac,48.8,-113.67,0.0,0.0,83.0,46.0,many_glac,0,0
10630,2017-06-26,2017-06-26_st_mary,48.7375,-113.4305,0.0,0.0,82.0,45.0,st_mary,0,0
10631,2017-06-26,2017-06-26_west_glac,48.5002,-113.9847,0.0,0.0,83.0,47.0,west_glac,0,0
10632,2017-06-27,2017-06-27_east_glac,48.4472,-113.2236,0.0,0.0,85.0,56.0,east_glac,0,0
10633,2017-06-27,2017-06-27_many_glac,48.8,-113.67,0.0,0.0,74.0,53.0,many_glac,0,0
10634,2017-06-27,2017-06-27_st_mary,48.7375,-113.4305,0.0,0.0,73.0,54.0,st_mary,0,0
10635,2017-06-27,2017-06-27_west_glac,48.5002,-113.9847,0.33,0.0,79.0,56.0,west_glac,1,0
10636,2017-06-28,2017-06-28_east_glac,48.4472,-113.2236,0.0,0.0,74.0,54.0,east_glac,0,0
10637,2017-06-28,2017-06-28_many_glac,48.8,-113.67,0.0,0.0,72.0,49.0,many_glac,0,0
10638,2017-06-28,2017-06-28_st_mary,48.7375,-113.4305,0.0,0.0,71.0,49.0,st_mary,0,0
10639,2017-06-28,2017-06-28_west_glac,48.5002,-113.9847,0.01,0.0,79.0,46.0,west_glac,1,0
10640,2017-06-29,2017-06-29_east_glac,48.4472,-113.2236,0.0,0.0,70.0,49.0,east_glac,0,0
10641,2017-06-29,2017-06-29_many_glac,48.8,-113.67,0.0,0.0,69.0,47.0,many_glac,0,0
10642,2017-06-29,2017-06-29_st_mary,48.7375,-113.4305,0.0,0.0,67.0,43.0,st_mary,0,0
10643,2017-06-29,2017-06-29_west_glac,48.5002,-113.9847,0.06,0.0,70.0,52.0,west_glac,1,0
10644,2017-06-30,2017-06-30_east_glac,48.4472,-113.2236,0.0,0.0,64.0,43.0,east_glac,0,0
10645,2017-06-30,2017-06-30_many_glac,48.8,-113.67,0.0,0.0,76.0,48.0,many_glac,0,0
10646,2017-06-30,2017-06-30_st_mary,48.7375,-113.4305,0.0,0.0,75.0,50.0,st_mary,0,0
10647,2017-06-30,2017-06-30_west_glac,48.5002,-113.9847,0.0,0.0,78.0,45.0,west_glac,0,0
10648,2017-07-01,2017-07-01_east_glac,48.4472,-113.2236,0.0,0.0,76.0,48.0,east_glac,0,0
10649,2017-07-01,2017-07-01_many_glac,48.8,-113.67,0.0,0.0,79.0,50.0,many_glac,0,0
10650,2017-07-01,2017-07-01_st_mary,48.7375,-113.4305,0.0,0.0,80.0,47.0,st_mary,0,0
