"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"09/11/2006","49","PM2.5","White Fish Dead End","30-029-0009","AQS","13","40","38","49"
"09/12/2006","45","PM10","Kalispell Flathead Electric","30-029-0047","AQS","13","44","45","."
"09/13/2006","50","PM10","Kalispell Flathead Electric","30-029-0047","AQS","13","38","50","."
"09/14/2006","31","PM2.5","White Fish Dead End","30-029-0009","AQS","13","26","14","31"
"09/15/2006","18","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","18","8","."
"09/16/2006","12","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","12","7","."
"09/17/2006","20","PM2.5","White Fish Dead End","30-029-0009","AQS","10","19","10","20"
"09/18/2006","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","26","19","."
"09/19/2006","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","21","12","."
"09/20/2006","20","PM2.5","White Fish Dead End","30-029-0009","AQS","7","18","11","20"
"09/21/2006","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","21","9","."
"09/22/2006","25","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","25","14","."
"09/23/2006","29","PM2.5","White Fish Dead End","30-029-0009","AQS","17","19","17","29"
"09/24/2006","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","21","14","."
"09/25/2006","24","PM10","White Fish Dead End","30-029-0009","AQS","10","19","24","."
"09/26/2006","39","PM2.5","White Fish Dead End","30-029-0009","AQS","11","31","31","39"
"09/27/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","31","19","."
"09/28/2006","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","32","28","."
"09/29/2006","43","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","20","35","39","43"
"09/30/2006","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","20","39","23","."
"10/01/2006","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","40","19","."
"10/02/2006","32","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","13","31","26","32"
"10/03/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","31","30","."
"10/04/2006","33","PM10","Kalispell Flathead Electric","30-029-0047","AQS","15","25","33","."
"10/05/2006","42","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","14","34","28","42"
"10/06/2006","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","32","25","."
"10/07/2006","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","30","16","."
"10/08/2006","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","31","14","25"
"10/09/2006","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","32","19","."
"10/10/2006","32","PM10","White Fish Dead End","30-029-0009","AQS","11","24","32","."
"10/11/2006","46","PM10","Columbia Falls Ball Park","30-029-0007","AQS","11","31","46","37"
"10/12/2006","37","PM10","White Fish Dead End","30-029-0009","AQS","15","30","37","."
"10/13/2006","45","PM10","White Fish Dead End","30-029-0009","AQS","19","21","45","."
"10/14/2006","55","PM2.5","White Fish Dead End","30-029-0009","AQS","16","26","41","55"
"10/15/2006","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","23","20","."
"10/16/2006","20","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","20","12","."
"10/17/2006","28","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","15","19","20","28"
